code,name,category
II-45.1,"Turn left.","regulatory"
II-45.2,"Turn right.","regulatory"
II-46,"Proceed straight or turn left.","regulatory"
II-46.1,"Proceed straight or turn left.","regulatory"
II-46.2,"Proceed straight or turn left.","regulatory"
II-47,"Keep right.","regulatory"
II-47.1,"Keep left.","regulatory"
II-48,"Roundabout mandatory.","regulatory"
II-6,"Road closed to buses.","regulatory"
II-7,"Road closed to trucks.","regulatory"
II-7.1,"Road closed to trucks over the shown maximum permissible weight in metric tonnes.","regulatory"
II-8,"Road closed to tanker trucks carrying dangerous water pollutants.","regulatory"
III-1,"Priority over oncoming traffic.","regulatory"
III-10,"Motorway.","informational"
III-105,"Road distance marker.","informational"
III-105.1,"Road distance marker.","informational"
III-105.3,"Road distance marker.","informational"
III-107-1,"Curve marker.","informational"
III-107-2,"Curve marker.","informational"
III-107.1-1,"Curve marker.","informational"
III-107.1-2,"Curve marker.","informational"
III-107.2-1,"Curve marker.","informational"
III-107.2-2,"Curve marker.","informational"
III-112,"Traffic lane management.","informational"
III-113,"Traffic lane management.","informational"
III-12,"Limited access road.","informational"
III-120,"School zone.","informational"
III-120-1,"School zone.","informational"
III-120.1,"School zone.","informational"
III-123,"Speed radar.","informational"
III-124,"Emergency station.","informational"
III-14,"Village.","informational"
III-14.1,"Village.","informational"
III-15,"End of village.","informational"
III-16,"End overtaking restriction.","informational"
III-18-40,"End maximum speed limit 40.","informational"
III-18-50,"End maximum speed limit 50.","informational"
III-18-60,"End maximum speed limit 60.","informational"
III-18-70,"End maximum speed limit 70.","informational"
III-2,"One-way street.","informational"
III-202-5,,
III-203-2,,
III-206-1,,
III-21,"End all restrictions.","informational"
III-23,"End bike path.","informational"
III-25,"End segregated path for pedestrians and bicycles.","informational"
III-25.1,"End segregated path for pedestrians and bicycles.","informational"
III-27,"No parking zone.","informational"
III-29-30,"Speed limit zone 30.","informational"
III-29-40,"Speed limit zone 40.","informational"
III-3,"Priority road.","informational"
III-30-30,"End speed limit zone 30.","informational"
III-33,"Traffic calmed area.","informational"
III-34,"Traffic calmed area.","informational"
III-35,"Parking.","informational"
III-37,"Metered parking.","informational"
III-39,"First aid post.","informational"
III-40,"Mechanic.","informational"
III-42,"Caravan waste station.","informational"
III-43,"Petrol station.","informational"
III-45,"Restaurant.","informational"
III-46,"Refreshment bar.","informational"
III-47,"Picnic area.","informational"
III-5,"Cyclist crossing.","informational"
III-50,"Camping and caravan grounds.","informational"
III-54,"Bus stop.","informational"
III-59,"Information.","informational"
III-6,"Pedestrian crossing.","informational"
III-64,"Serpentine road.","informational"
III-68,"River sign.","informational"
III-74,"Radio information.","informational"
III-77,"Water protection zone.","informational"
III-78,"Bike route.","informational"
III-8-1,"Dead end road.","informational"
III-84,"Direction table.","informational"
III-84-1,"Direction table.","informational"
III-85-2,"Direction table.","informational"
III-85-3,"Direction table.","informational"
III-85.1,"Direction table.","informational"
III-86-1,"Direction signpost.","informational"
III-86-2,"Direction signpost.","informational"
III-87,"Direction table.","informational"
III-90,"Direction table.","informational"
III-90.1,"Direction table.","informational"
III-90.2,"Direction table.","informational"
III-91,"Direction table.","informational"
IV-1,"Above sign effective after the distance shown.","supplementary"
IV-1.1,"Stop sign ahead after the distance shown.","supplementary"
IV-10,"Disabled parking.","supplementary"
IV-11,"Tow-away zone.","supplementary"
IV-12,"Above sign valid during rainy weather.","supplementary"
IV-12.1,"Above sign valid during winter weather.","supplementary"
IV-13-1,"Priority route diagram.","supplementary"
IV-13-2,"Priority route diagram.","supplementary"
IV-13-3,"Priority route diagram.","supplementary"
IV-13-4,"Priority route diagram.","supplementary"
IV-13-5,"Priority route diagram.","supplementary"
IV-13-6,"Priority route diagram.","supplementary"
IV-13.1-2,"Priority route diagram.","supplementary"
IV-13.1-3,"Priority route diagram.","supplementary"
IV-13.1-4,"Priority route diagram.","supplementary"
IV-16,"Rutted road.","supplementary"
IV-17,"Two-way bike path.","supplementary"
IV-18,"Children in the road.","supplementary"
IV-2,"Above sign effective for the duration of the distance shown.","supplementary"
IV-20-1,,
IV-3-1,"Above sign effective ahead in the direction and distance shown.","supplementary"
IV-3-2,"Above sign effective ahead in the direction and distance shown.","supplementary"
IV-3-4,"Above sign effective ahead in the direction and distance shown.","supplementary"
IV-3-5,"Above sign effective ahead in the direction and distance shown.","supplementary"
IV-5,"Additional explanation plate.","supplementary"
IV-6,"Additional explanation plate.","supplementary"
VI-2.1,"Hazard marker.","supplementary"
VI-3-1,"Hazard marker.","supplementary"
VI-3-2,"Hazard marker.","supplementary"
VI-3.1-1,"Hazard marker.","supplementary"
VI-3.1-2,"Hazard marker.","supplementary"
VI-8,"Traffic island marker.","supplementary"
VII-4,,
VII-4-1,,
VII-4-2,,
VII-4.1-1,,
VII-4.3,,
VII-4.3-1,,
VII-4.3-2,,
VII-4.4-1,,
VII-4.4-2,,
X-1.1,,
X-1.2,,
X-4,,
X-6-3,,
